id_source;id_destination;poids;type
N1;N2;131;3
N2;N1;131;3
N2;N3;108;3
N3;N2;108;3
N3;N4;84;3
N4;N3;84;3
N4;N5;118;3
N5;N4;118;3
N5;N6;108;3
N6;N5;108;3
N6;N7;133;3
N7;N6;133;3
N7;N8;35;3
N8;N7;35;3
N8;N9;140;3
N9;N8;140;3
N9;N10;147;3
N10;N9;147;3
N10;N11;110;3
N11;N10;110;3
N11;N12;110;3
N12;N11;110;3
N12;N13;51;3
N13;N12;51;3
N13;N14;45;3
N14;N13;45;3
N14;N15;71;3
N15;N14;71;3
N15;N16;30;3
N16;N15;30;3
N16;N17;75;3
N17;N16;75;3
N17;N18;43;3
N18;N17;43;3
N18;N19;146;3
N19;N18;146;3
N19;N20;21;3
N20;N19;21;3
N20;N21;21;3
N21;N20;21;3
N21;N22;51;3
N22;N21;51;3
N22;N23;130;3
N23;N22;130;3
N23;N24;102;3
N24;N23;102;3
N24;N25;93;3
N25;N24;93;3
N25;N26;22;3
N26;N25;22;3
N26;N27;68;3
N27;N26;68;3
N27;N28;107;3
N28;N27;107;3
N28;N29;129;3
N29;N28;129;3
N29;N30;48;3
N30;N29;48;3
N30;N31;113;3
N31;N30;113;3
N31;N32;55;3
N32;N31;55;3
N32;N33;53;3
N33;N32;53;3
N33;N34;85;3
N34;N33;85;3
N34;N35;114;3
N35;N34;114;3
N35;N36;20;3
N36;N35;20;3
N36;N37;24;3
N37;N36;24;3
N37;N38;112;3
N38;N37;112;3
N38;N39;123;3
N39;N38;123;3
N39;N40;98;3
N40;N39;98;3
N40;N41;115;3
N41;N40;115;3
N41;N42;26;3
N42;N41;26;3
N42;N43;53;3
N43;N42;53;3
N43;N44;26;3
N44;N43;26;3
N44;N45;128;3
N45;N44;128;3
N45;N46;142;3
N46;N45;142;3
N46;N47;36;3
N47;N46;36;3
N47;N48;56;3
N48;N47;56;3
N48;N49;58;3
N49;N48;58;3
N49;N50;121;3
N50;N49;121;3
N50;N51;47;3
N51;N50;47;3
N51;N52;144;3
N52;N51;144;3
N52;N53;140;3
N53;N52;140;3
N53;N54;97;3
N54;N53;97;3
N54;N55;72;3
N55;N54;72;3
N55;N56;79;3
N56;N55;79;3
N56;N57;150;3
N57;N56;150;3
N57;N58;109;3
N58;N57;109;3
N58;N59;63;3
N59;N58;63;3
N59;N60;67;3
N60;N59;67;3
N60;N61;56;3
N61;N60;56;3
N61;N62;148;3
N62;N61;148;3
N62;N63;97;3
N63;N62;97;3
N63;N64;91;3
N64;N63;91;3
N64;N65;61;3
N65;N64;61;3
N65;N66;116;3
N66;N65;116;3
N66;N67;133;3
N67;N66;133;3
N67;N68;34;3
N68;N67;34;3
N68;N69;133;3
N69;N68;133;3
N69;N70;130;3
N70;N69;130;3
N70;N71;43;3
N71;N70;43;3
N71;N72;84;3
N72;N71;84;3
N72;N73;122;3
N73;N72;122;3
N73;N74;110;3
N74;N73;110;3
N74;N75;105;3
N75;N74;105;3
N75;N76;90;3
N76;N75;90;3
N76;N77;67;3
N77;N76;67;3
N77;N78;29;3
N78;N77;29;3
N78;N79;27;3
N79;N78;27;3
N79;N80;127;3
N80;N79;127;3
N80;N81;103;3
N81;N80;103;3
N81;N82;98;3
N82;N81;98;3
N82;N83;113;3
N83;N82;113;3
N83;N84;132;3
N84;N83;132;3
N84;N85;144;3
N85;N84;144;3
N85;N86;69;3
N86;N85;69;3
N86;N87;84;3
N87;N86;84;3
N87;N88;116;3
N88;N87;116;3
N88;N89;109;3
N89;N88;109;3
N89;N90;119;3
N90;N89;119;3
N90;N91;62;3
N91;N90;62;3
N91;N92;115;3
N92;N91;115;3
N92;N93;122;3
N93;N92;122;3
N93;N94;121;3
N94;N93;121;3
N94;N95;31;3
N95;N94;31;3
N95;N96;147;3
N96;N95;147;3
N96;N97;38;3
N97;N96;38;3
N97;N98;20;3
N98;N97;20;3
N98;N99;76;3
N99;N98;76;3
N99;N100;93;3
N100;N99;93;3
N2;N71;59;3
N2;N76;40;3
N3;N21;63;3
N3;N86;114;3
N5;N56;36;3
N5;N98;55;3
N5;N100;20;3
N8;N87;21;3
N9;N73;80;3
N10;N36;122;3
N10;N79;83;3
N11;N27;182;3
N11;N82;130;3
N14;N99;53;3
N15;N29;127;3
N15;N85;168;3
N16;N28;29;3
N16;N57;167;3
N17;N33;175;3
