id_source;id_destination;poids;type
N1;N2;185;1
N2;N3;147;1
N3;N4;55;1
N4;N5;57;1
N5;N6;190;1
N6;N7;140;1
N7;N8;123;1
N8;N9;17;1
N9;N10;55;1
N10;N11;167;1
N11;N12;157;1
N12;N13;50;1
N13;N14;95;1
N14;N15;17;1
N15;N16;57;1
N16;N17;126;1
N17;N18;63;1
N18;N19;184;1
N19;N20;69;1
N20;N21;114;1
N21;N22;118;1
N22;N23;116;1
N23;N24;197;1
N24;N25;146;1
N25;N26;123;1
N26;N27;136;1
N27;N28;14;1
N28;N29;36;1
N29;N30;89;1
N30;N31;100;1
N31;N32;182;1
N32;N33;121;1
N33;N34;29;1
N34;N35;49;1
N35;N36;57;1
N36;N37;136;1
N37;N38;140;1
N38;N39;146;1
N39;N40;32;1
N40;N41;54;1
N41;N42;147;1
N42;N43;79;1
N43;N44;68;1
N44;N45;161;1
N45;N46;60;1
N46;N47;173;1
N47;N48;185;1
N48;N49;142;1
N49;N50;145;1
N50;N51;37;1
N51;N52;180;1
N52;N53;161;1
N53;N54;192;1
N54;N55;63;1
N55;N56;138;1
N56;N57;21;1
N57;N58;50;1
N58;N59;77;1
N59;N60;167;1
N60;N61;71;1
N61;N62;184;1
N62;N63;100;1
N63;N64;124;1
N64;N65;64;1
N65;N66;167;1
N66;N67;137;1
N67;N68;179;1
N68;N69;23;1
N69;N70;139;1
N70;N71;108;1
N71;N72;14;1
N72;N73;180;1
N73;N74;187;1
N74;N75;152;1
N75;N76;186;1
N76;N77;180;1
N77;N78;34;1
N78;N79;109;1
N79;N80;48;1
N80;N81;14;1
N81;N82;97;1
N82;N83;141;1
N83;N84;162;1
N84;N85;26;1
N85;N86;93;1
N86;N87;157;1
N87;N88;60;1
N88;N89;90;1
N89;N90;164;1
N90;N91;104;1
N91;N92;198;1
N92;N93;85;1
N93;N94;159;1
N94;N95;92;1
N95;N96;10;1
N96;N97;76;1
N97;N98;99;1
N98;N99;54;1
N99;N100;161;1
